datetime;cpu_usage
Wed Sep 14 2022 17:00:00 GMT+0300 (GMT+03:00);0.09358194716035441
Wed Sep 14 2022 18:00:00 GMT+0300 (GMT+03:00);0.0623702396816548
Wed Sep 14 2022 19:00:00 GMT+0300 (GMT+03:00);0.06084134764555425
Wed Sep 14 2022 20:00:00 GMT+0300 (GMT+03:00);0.06323321201689798
Wed Sep 14 2022 21:00:00 GMT+0300 (GMT+03:00);0.06902179719110588
Wed Sep 14 2022 22:00:00 GMT+0300 (GMT+03:00);0.06734137777782355
Wed Sep 14 2022 23:00:00 GMT+0300 (GMT+03:00);0.07034000777705221
Thu Sep 15 2022 00:00:00 GMT+0300 (GMT+03:00);0.05929832807612708
Thu Sep 15 2022 01:00:00 GMT+0300 (GMT+03:00);0.06428536976040859
Thu Sep 15 2022 02:00:00 GMT+0300 (GMT+03:00);0.06117955687307079
Thu Sep 15 2022 03:00:00 GMT+0300 (GMT+03:00);0.05580097786694146
Thu Sep 15 2022 04:00:00 GMT+0300 (GMT+03:00);0.06242173150252914
Thu Sep 15 2022 05:00:00 GMT+0300 (GMT+03:00);0.05711124000993247
Thu Sep 15 2022 06:00:00 GMT+0300 (GMT+03:00);0.07467910998203377
Thu Sep 15 2022 07:00:00 GMT+0300 (GMT+03:00);0.24832326157736434
Thu Sep 15 2022 08:00:00 GMT+0300 (GMT+03:00);0.16402637046554852
Thu Sep 15 2022 09:00:00 GMT+0300 (GMT+03:00);0.05064412589553588
Thu Sep 15 2022 10:00:00 GMT+0300 (GMT+03:00);0.054223708165033406
Thu Sep 15 2022 11:00:00 GMT+0300 (GMT+03:00);0.05236745638029082
Thu Sep 15 2022 12:00:00 GMT+0300 (GMT+03:00);0.05034969896097514
Thu Sep 15 2022 13:00:00 GMT+0300 (GMT+03:00);0.06650792910374646
Thu Sep 15 2022 14:00:00 GMT+0300 (GMT+03:00);0.05143660515863708
Thu Sep 15 2022 15:00:00 GMT+0300 (GMT+03:00);0.05215991820292807
Thu Sep 15 2022 16:00:00 GMT+0300 (GMT+03:00);0.051896207666464335
Thu Sep 15 2022 17:00:00 GMT+0300 (GMT+03:00);0.05368316918158802
Thu Sep 15 2022 18:00:00 GMT+0300 (GMT+03:00);0.04921734591383331
Thu Sep 15 2022 19:00:00 GMT+0300 (GMT+03:00);0.05224881022599424
Thu Sep 15 2022 20:00:00 GMT+0300 (GMT+03:00);0.04981570821443003
Thu Sep 15 2022 21:00:00 GMT+0300 (GMT+03:00);0.05120128910613454
Thu Sep 15 2022 22:00:00 GMT+0300 (GMT+03:00);0.04832714910399065
Thu Sep 15 2022 23:00:00 GMT+0300 (GMT+03:00);0.055470604559264364
Fri Sep 16 2022 00:00:00 GMT+0300 (GMT+03:00);0.05115705101996557
Fri Sep 16 2022 01:00:00 GMT+0300 (GMT+03:00);0.04867772641384766
Fri Sep 16 2022 02:00:00 GMT+0300 (GMT+03:00);0.047167177807293945
Fri Sep 16 2022 03:00:00 GMT+0300 (GMT+03:00);0.049680889942165886
Fri Sep 16 2022 04:00:00 GMT+0300 (GMT+03:00);0.05372675349651322
Fri Sep 16 2022 05:00:00 GMT+0300 (GMT+03:00);0.04168982155071311
Fri Sep 16 2022 06:00:00 GMT+0300 (GMT+03:00);0.040835839669388314
Fri Sep 16 2022 07:00:00 GMT+0300 (GMT+03:00);0.04563017653999849
Fri Sep 16 2022 08:00:00 GMT+0300 (GMT+03:00);0.06633968800868995
Fri Sep 16 2022 09:00:00 GMT+0300 (GMT+03:00);0.04919848421226359
Fri Sep 16 2022 10:00:00 GMT+0300 (GMT+03:00);0.047790334839244476
Fri Sep 16 2022 11:00:00 GMT+0300 (GMT+03:00);0.05075335378318817
Fri Sep 16 2022 12:00:00 GMT+0300 (GMT+03:00);0.04982293616928574
Fri Sep 16 2022 13:00:00 GMT+0300 (GMT+03:00);0.0510333599652707
Fri Sep 16 2022 14:00:00 GMT+0300 (GMT+03:00);0.04759913549933116
Fri Sep 16 2022 15:00:00 GMT+0300 (GMT+03:00);0.05934785077432429
Fri Sep 16 2022 16:00:00 GMT+0300 (GMT+03:00);0.0486964945655523
Fri Sep 16 2022 17:00:00 GMT+0300 (GMT+03:00);0.054119570424922527
Fri Sep 16 2022 18:00:00 GMT+0300 (GMT+03:00);0.050665944662565986
Fri Sep 16 2022 19:00:00 GMT+0300 (GMT+03:00);0.048570289553673415
Fri Sep 16 2022 20:00:00 GMT+0300 (GMT+03:00);0.04729191167021377
Fri Sep 16 2022 21:00:00 GMT+0300 (GMT+03:00);0.049153627858742964
Fri Sep 16 2022 22:00:00 GMT+0300 (GMT+03:00);0.048192989568536494
Fri Sep 16 2022 23:00:00 GMT+0300 (GMT+03:00);0.047365474878073056
Sat Sep 17 2022 00:00:00 GMT+0300 (GMT+03:00);0.04634289758648569
Sat Sep 17 2022 01:00:00 GMT+0300 (GMT+03:00);0.0535744886384863
Sat Sep 17 2022 02:00:00 GMT+0300 (GMT+03:00);0.047739672985820415
Sat Sep 17 2022 03:00:00 GMT+0300 (GMT+03:00);0.0461714891456197
Sat Sep 17 2022 04:00:00 GMT+0300 (GMT+03:00);0.0439358291905632
Sat Sep 17 2022 05:00:00 GMT+0300 (GMT+03:00);0.0463269872029519
Sat Sep 17 2022 06:00:00 GMT+0300 (GMT+03:00);0.044546488286513405
